OrderNo,Order Date,Product,Region,Qty,Price
ORD-10081,13-09-2023,Office Chair Ergo,EAST,5,10999
ORD-10787,18-11-2024,Smartphone X5, West,4,"₹21,999"
ORD-10392,2024-09-23,Laptop Pro 14,EAST,2,65999
ORD-10613,2023-07-06,  smartphone lite , West,1,11999
ORD-10799,06-04-2025,Notebook A5 (Pack of 5),East,7,399
ORD-10219,19-03-2025,USB-C Docking Station,south,2,5999
ORD-11292,2023-11-06,  meeting table 6-seat , West,6,"₹24,999"
ORD-10997,2023-08-07,Smartphone X5,WEST,8,21999
ORD-10174,2025-06-24,Laptop Air 13, North ,4,52999
ORD-11296,25-04-2025,Bookshelf 4-Tier,North,4,5499
ORD-10897,2023-06-29,  laptop air 13 ,South,3,52999
ORD-10389,2025-02-25,  desk organizer ,south,7,599
ORD-10287,08-10-2025,Water Purifier UV,West,8,12499
ORD-10074,2025-11-09,Coffee Maker 12-Cup,East ,6,3999
ORD-10052,2024-03-12,  usb-c docking station ,EAST,3,5999
ORD-11215,01-08-2025,Whiteboard 3x2 ft, West,6,"₹1,599"
ORD-10489,2024-05-11,Desk Organizer, West,4,₹599
ORD-11002,2025-12-12,Filing Cabinet,NORTH,8,"₹4,699"
ORD-10797,2023-12-12,  water purifier uv ,South  ,3,"₹12,499"
ORD-10130,2023-02-28,Gaming Chair,East ,3,15499
ORD-10631,2023-09-28,A4 Paper Ream,East ,7,449
ORD-11024,2025-04-08,Smartphone X5,SOUTH,2,"₹21,999"
ORD-11094,30-04-2023,Desk Organizer,WEST,5,599
ORD-10921,2025-09-09,Meeting Table 6-Seat, West,6,"₹24,999"
ORD-10034,2024-05-24,27-inch Monitor,north,8,14999
ORD-10250,17-07-2025,  filing cabinet ,East ,,4699
ORD-10189,2023-11-08,  laptop air 13 ,East ,,"₹52,999"
ORD-10800,2023-03-19,27-inch Monitor, West,6,"14,999"
ORD-10228,26-07-2024,  microwave 20l , West,6,"₹8,499"
ORD-11005,18-01-2023,  coffee maker 12-cup ,south,,3999
ORD-10128,2024-05-17,  smartphone x5 ,West,5,"₹21,999"
ORD-11076,2025-06-17,27-inch Monitor,East,1,14999
ORD-11094,30-04-2023,Desk Organizer,WEST,5,599
